 Mortalidade - Rio Grande do Sul
Óbitos p/Residênc por Faixa Etária e Sexo
Capítulo CID-10: XX.  Causas externas de morbidade e mortalidade
Período:2024
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";31;29;-;60
"1 a 4 anos";34;24;-;58
"5 a 9 anos";15;13;-;28
"10 a 14 anos";35;18;-;53
"15 a 19 anos";269;64;-;333
"20 a 29 anos";1064;166;-;1230
"30 a 39 anos";957;183;-;1140
"40 a 49 anos";936;198;-;1134
"50 a 59 anos";845;182;-;1027
"60 a 69 anos";753;242;-;995
"70 a 79 anos";553;348;-;901
"80 anos e mais";451;748;-;1199
"Idade ignorada";17;-;5;22
"Total";5960;2215;5;8180
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
