 Mortalidade - Rio Grande do Sul
Óbitos p/Residênc por Faixa Etária e Sexo
Capítulo CID-10: XX.  Causas externas de morbidade e mortalidade
Período:2023
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";25;23;-;48
"1 a 4 anos";34;17;-;51
"5 a 9 anos";12;6;-;18
"10 a 14 anos";35;20;-;55
"15 a 19 anos";297;59;-;356
"20 a 29 anos";1140;165;-;1305
"30 a 39 anos";1078;193;-;1271
"40 a 49 anos";937;202;-;1139
"50 a 59 anos";828;193;-;1021
"60 a 69 anos";706;190;-;896
"70 a 79 anos";490;266;-;756
"80 anos e mais";441;642;-;1083
"Idade ignorada";22;4;3;29
"Total";6045;1980;3;8028
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
