 Mortalidade - Rio Grande do Sul
Óbitos p/Residênc por Faixa Etária e Sexo
Capítulo CID-10: XX.  Causas externas de morbidade e mortalidade
Período:2022
"Faixa Etária";"Masc";"Fem";"Ign";"Total"
"Menor 1 ano";29;21;-;50
"1 a 4 anos";28;21;-;49
"5 a 9 anos";16;10;-;26
"10 a 14 anos";28;22;-;50
"15 a 19 anos";329;59;-;388
"20 a 29 anos";1173;177;-;1350
"30 a 39 anos";1069;183;-;1252
"40 a 49 anos";870;169;-;1039
"50 a 59 anos";805;164;-;969
"60 a 69 anos";666;200;-;866
"70 a 79 anos";491;267;1;759
"80 anos e mais";442;629;-;1071
"Idade ignorada";37;2;2;41
"Total";5983;1924;3;7910
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
